Msg Index	lot type	substrate type	material type	process step name	tool name	panel count	defectivity	processing time	job ID	elapsed time
0	FDC39B	Polyimide	aSi	S-D N+ CONTACT DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	434.0	0	43339.97619047618
0	FDC39B	Polyimide	aSi	S-D METAL DEPOSITON	KDF744NT-219	4	-1.0	135.0	0	43474.97619047618
0	FDC39B	Polyimide	aSi	SD METAL PANEL RINSE GEN II	Universal Plastics Hood #1	4	-1.0	84.6666666666668	0	43559.64285714285
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	3033.714285714284	2	45682.47619047618
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	757.0	2	46439.47619047618
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	7.0	161.0	2	46600.47619047618
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	8395.0	7	46651.19047619047
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	365.0	2	46965.47619047618
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	265.0	7	47230.47619047618
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	1569.0	3	47251.47619047618
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	118.0	3	47369.47619047618
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	1195.0	2	48160.47619047618
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	4.0	868.0	3	48237.47619047618
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	203.5	3	48440.97619047618
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	657.333333333332	7	48817.80952380951
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	351.0	3	49168.80952380951
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	6985.0	4	49676.333333333336
